timestamp,status,card_present_flag,account,first_name,age,gender,txn_description,balance,amount,geometry,X,Y,merch_suburb,merch_state,merch_geometry,merch_X,merch_Y,distance,country,card_present_bool
218-8-1 1:1:15+:,authorized,1,159845171,Diana,26,F,POS,35.39,16.25,153.41 -27.95,-27.95,153.41,Ashmore,QLD,153.38 -27.99,-27.99,153.38,5.34,Australia,TRUE
218-8-1 1:13:45+:,authorized,,159845171,Diana,26,F,SALES-POS,21.2,14.19,153.41 -27.95,-27.95,153.41,Sydney,NSW,151.21 -33.87,-33.87,151.21,691.63,Australia,FALSE
218-8-1 1:26:15+:,authorized,1,12223524,Michael,38,M,POS,5.71,6.42,151.23 -33.94,-33.94,151.23,Sydney,NSW,151.21 -33.87,-33.87,151.21,8.1,Australia,TRUE
218-8-1 1:38:45+:,authorized,1,1375564,Rhonda,4,F,SALES-POS,2117.22,4.9,153.1 -27.66,-27.66,153.1,Buderim,QLD,153.5 -26.68,-26.68,153.5,19.2,Australia,TRUE
218-8-1 1:51:15+:,authorized,1,159845171,Diana,26,F,SALES-POS,17.95,3.25,153.41 -27.95,-27.95,153.41,Mermaid Beach,QLD,153.44 -28.6,-28.6,153.44,12.6,Australia,TRUE
218-8-1 2::+:,posted,,168363396,Robert,2,M,PAYMENT,175.43,163,151.22 -33.87,-33.87,151.22,,,,,,,Australia,FALSE
218-8-1 2:23:4+:,authorized,1,2776252858,Kristin,43,F,SALES-POS,1248.36,61.6,144.95 -37.76,-37.76,144.95,Kalkallo,VIC,144.95 -37.53,-37.53,144.95,25.6,Australia,TRUE
218-8-1 4:11:25+:,authorized,1,2776252858,Kristin,43,F,POS,1232.75,15.61,144.95 -37.76,-37.76,144.95,Melbourne,VIC,144.96 -37.81,-37.81,144.96,5.64,Australia,TRUE
218-8-1 4:4:+:,authorized,1,182446574,Tonya,27,F,POS,213.16,19.25,116.6 -32.,-32,116.6,Yokine,WA,115.85 -31.9,-31.9,115.85,22.75,Australia,TRUE
218-8-1 6::+:,posted,,62667573,Michael,4,M,INTER BANK,466.58,21,151.23 -33.96,-33.96,151.23,,,,,,,Australia,FALSE
218-8-1 6::+:,posted,,2171593283,Fernando,19,M,PAYMENT,4348.5,27,146.94 -36.4,-36.4,146.94,,,,,,,Australia,FALSE
218-8-1 6::+:,posted,,2776252858,Kristin,43,F,PAYMENT,123.75,29,144.95 -37.76,-37.76,144.95,,,,,,,Australia,FALSE
218-8-1 6:6:4+:,authorized,1,182446574,Tonya,27,F,SALES-POS,27.8,6.8,116.6 -32.,-32,116.6,Cockburn Central,WA,115.86 -32.13,-32.13,115.86,23.78,Australia,TRUE
218-8-1 7::+:,posted,,58856484,Isaiah,23,M,INTER BANK,4438.16,25,151.27 -33.76,-33.76,151.27,,,,,,,Australia,FALSE
218-8-1 7::+:,posted,,1496451953,Ricky,43,M,INTER BANK,173.66,39,145.16 -37.84,-37.84,145.16,,,,,,,Australia,FALSE
