account,date,time_extraction,gender,age,txn_description,balance,amount,longitude,latitude
1608363396,8/1/2018,2:00 AM,M,20,PAYMENT,1705.43,163.00,151.22,-33.87
602667573,8/1/2018,6:00 AM,M,40,INTER BANK,466.58,21.00,151.23,-33.96
2171593283,8/1/2018,6:00 AM,M,19,PAYMENT,4348.50,27.00,146.94,-36.04
2776252858,8/1/2018,6:00 AM,F,43,PAYMENT,1203.75,29.00,144.95,-37.76
588564840,8/1/2018,7:00 AM,M,23,INTER BANK,4438.16,25.00,151.27,-33.76
1496451953,8/1/2018,7:00 AM,M,43,INTER BANK,173.66,39.00,145.16,-37.84
2014856841,8/1/2018,8:00 AM,M,46,INTER BANK,260514.83,22.00,144.99,-37.9
4163822186,8/1/2018,8:00 AM,F,26,PAYMENT,3117.94,55.00,149.03,-34.97
3954677887,8/1/2018,8:00 AM,F,47,PAYMENT,38.31,58.00,115.72,-32.28
354106658,8/1/2018,9:00 AM,F,39,INTER BANK,4474.38,25.00,151.04,-33.8
1443681913,8/1/2018,9:00 AM,M,31,PAYMENT,586.20,36.00,150.92,-33.77
1037050564,8/1/2018,10:00 AM,F,40,PAYMENT,2040.10,32.00,153.1,-27.66
1799207998,8/1/2018,10:00 AM,F,20,INTER BANK,137.14,39.00,150.68,-33.79
2107684084,8/1/2018,10:00 AM,M,22,PAYMENT,292.77,34.00,145.03,-37.88
2173390920,8/1/2018,10:00 AM,M,27,PAYMENT,28.04,29.00,144.71,-37.58
1243371644,8/1/2018,10:00 AM,M,42,PAYMENT,754.20,150.00,150.9,-33.78
966140392,8/1/2018,10:00 AM,M,21,PAYMENT,763.64,30.00,147.08,-37.97
2901672282,8/1/2018,11:00 AM,M,22,PAYMENT,1195.08,95.00,255,-573
4163822186,8/1/2018,12:00 PM,F,26,PAYMENT,3071.94,46.00,149.03,-34.97
182446574,8/1/2018,12:00 PM,F,27,INTER BANK,150.08,57.00,116.06,-32
3879258709,8/1/2018,12:00 PM,F,40,PAYMENT,186371.86,170.00,143.83,-37.66
3100725361,8/1/2018,1:00 PM,M,25,INTER BANK,2032.92,26.00,145.73,-17.03
2305712452,8/1/2018,3:00 PM,F,18,PAYMENT,86.91,36.00,138.61,-34.89
38923874,8/1/2018,3:00 PM,M,38,PAYMENT,28453.87,35.00,151.27,-33.9
4065652575,8/1/2018,4:00 PM,M,21,PAYMENT,2335.35,55.00,115.81,-31.82
1799207998,8/1/2018,4:00 PM,F,20,PAYMENT,8.06,35.00,150.68,-33.79
2901672282,8/1/2018,5:00 PM,M,22,PAYMENT,1162.08,33.00,255,-573
4163822186,8/1/2018,5:00 PM,F,26,PAYMENT,3021.94,50.00,149.03,-34.97
958000567,8/1/2018,5:00 PM,F,34,PAYMENT,300.09,168.00,130.9,-12.37
2153562714,8/1/2018,6:00 PM,F,24,PAYMENT,860.46,46.00,116,-31.88
1349834573,8/1/2018,7:00 PM,M,39,PAYMENT,7046.77,48.00,145.17,-37.84
2171593283,8/1/2018,8:00 PM,M,19,PAYMENT,4331.50,17.00,146.94,-36.04
1650504218,8/1/2018,8:00 PM,F,23,PAYMENT,1992.72,33.00,145.01,-37.93
182446574,8/1/2018,8:00 PM,F,27,INTER BANK,117.08,33.00,116.06,-32
4281711154,8/1/2018,8:00 PM,M,42,PHONE BANK,35322.36,36.00,144.98,-37.84
3536132544,8/1/2018,9:00 PM,F,41,INTER BANK,1679.94,43.00,144.93,-37.79
1710017148,8/1/2018,10:00 PM,F,19,PAYMENT,1569.58,33.00,150.82,-34.01
2988263882,8/1/2018,11:00 PM,M,44,PAYMENT,1884.41,157.00,145.18,-37.9
1973887809,8/1/2018,11:00 PM,M,26,PAYMENT,1767.37,29.00,115.78,-31.9
1349834573,8/1/2018,11:00 PM,M,39,PAYMENT,7014.77,32.00,145.17,-37.84
1496451953,8/2/2018,2:00 AM,M,43,INTER BANK,147.59,16.00,145.16,-37.84
1523339231,8/2/2018,3:00 AM,M,40,PAYMENT,54980.99,47.00,115.83,-31.9
2890243754,8/2/2018,3:00 AM,M,37,PAYMENT,223.93,52.00,153.32,-27.93
2270192619,8/2/2018,4:00 AM,M,20,PAYMENT,6630.82,39.00,138.56,-35.27
3536132544,8/2/2018,4:00 AM,F,41,PAYMENT,1657.94,22.00,144.93,-37.79
2171593283,8/2/2018,5:00 AM,M,19,PAYMENT,4298.50,33.00,146.94,-36.04
2890243754,8/2/2018,5:00 AM,M,37,PAYMENT,205.93,18.00,153.32,-27.93
3481401842,8/2/2018,6:00 AM,F,25,PAYMENT,213.37,46.00,115.74,-31.72
211792489,8/2/2018,6:00 AM,F,30,PAYMENT,3117.58,47.00,138.63,-34.93
2231965366,8/2/2018,7:00 AM,F,35,PAYMENT,1580.32,33.00,144.96,-37.84
2259139624,8/2/2018,7:00 AM,F,19,INTER BANK,1146.46,22.00,144.66,-37.91
2776252858,8/2/2018,7:00 AM,F,43,INTER BANK,2074.79,197.00,144.95,-37.76
2776252858,8/2/2018,8:00 AM,F,43,PAYMENT,2031.79,43.00,144.95,-37.76
574997646,8/2/2018,8:00 AM,F,18,PAYMENT,38.55,151.00,150.79,-33.64
3485804958,8/2/2018,9:00 AM,F,34,PAYMENT,16394.78,27.00,138.52,-35.01
1516130869,8/2/2018,9:00 AM,F,21,INTER BANK,104.40,39.00,130.84,-12.45
3541460373,8/2/2018,11:00 AM,M,24,PAYMENT,2476.66,41.00,145,-37.83
1608363396,8/2/2018,11:00 AM,M,20,INTER BANK,1667.91,24.00,151.22,-33.87
3879258709,8/2/2018,12:00 PM,F,40,PHONE BANK,186195.30,41.00,143.83,-37.66
966140392,8/2/2018,12:00 PM,M,21,PAYMENT,715.75,35.00,147.08,-37.97
588564840,8/2/2018,1:00 PM,M,23,INTER BANK,8189.12,117.00,151.27,-33.76
4274272854,8/2/2018,1:00 PM,M,20,PAYMENT,2666.12,15.00,145.23,-37.86
1349834573,8/2/2018,2:00 PM,M,39,PAYMENT,6954.77,60.00,145.17,-37.84
1037050564,8/2/2018,3:00 PM,F,40,PAYMENT,1758.00,33.00,153.1,-27.66
588564840,8/2/2018,5:00 PM,M,23,PAYMENT,7963.24,181.00,151.27,-33.76
1279356312,8/2/2018,5:00 PM,M,44,PAYMENT,1020.55,15.00,144.79,-37.73
958000567,8/2/2018,5:00 PM,F,34,PAYMENT,263.09,37.00,130.9,-12.37
588564840,8/2/2018,6:00 PM,M,23,PAYMENT,7922.24,41.00,151.27,-33.76
1683215619,8/2/2018,6:00 PM,M,38,PAYMENT,230.86,49.00,138.67,-34.86
3879258709,8/2/2018,6:00 PM,F,40,PAYMENT,186174.30,21.00,143.83,-37.66
1990648130,8/2/2018,6:00 PM,F,21,PAYMENT,1540.46,135.00,114.62,-28.8
2014856841,8/2/2018,7:00 PM,M,46,PAYMENT,260464.83,50.00,144.99,-37.9
1279356312,8/2/2018,8:00 PM,M,44,PAYMENT,979.55,41.00,144.79,-37.73
1424176027,8/2/2018,8:00 PM,M,22,PAYMENT,290.88,195.00,151.08,-33.93
1056639002,8/2/2018,9:00 PM,M,22,PAYMENT,42704.09,86.00,145.03,-37.91
854938045,8/2/2018,9:00 PM,M,28,PHONE BANK,6866.65,58.00,147.63,-22.84
3741880913,8/2/2018,10:00 PM,F,25,PAYMENT,2795.85,32.00,150.5,-23.4
90814749,8/2/2018,10:00 PM,M,35,PAYMENT,5986.68,36.00,151.68,-32.98
3536132544,8/2/2018,10:00 PM,F,41,INTER BANK,1441.27,109.00,144.93,-37.79
2259139624,8/2/2018,10:00 PM,F,19,PAYMENT,1038.46,108.00,144.66,-37.91
2265520058,8/2/2018,10:00 PM,F,26,PAYMENT,45.89,33.00,151.27,-33.85
354106658,8/2/2018,11:00 PM,F,39,PAYMENT,4376.26,52.00,151.04,-33.8
1334819143,8/2/2018,11:00 PM,M,33,INTER BANK,58052.04,59.00,145.13,-37.7
1683215619,8/3/2018,3:00 AM,M,38,PAYMENT,171.86,59.00,138.67,-34.86
2673069055,8/3/2018,3:00 AM,M,24,PAYMENT,11323.83,43.00,152.99,-27.49
3827517394,8/3/2018,4:00 AM,M,28,PAYMENT,29932.51,124.00,151.12,-33.89
1496451953,8/3/2018,4:00 AM,M,43,PAYMENT,124.59,23.00,145.16,-37.84
1710017148,8/3/2018,4:00 AM,F,19,PAYMENT,1529.58,40.00,150.82,-34.01
3827517394,8/3/2018,5:00 AM,M,28,PAYMENT,29867.51,65.00,151.12,-33.89
1598451071,8/3/2018,6:00 AM,F,26,PAYMENT,736.76,195.00,153.41,-27.95
1056639002,8/3/2018,6:00 AM,M,22,INTER BANK,42557.09,147.00,145.03,-37.91
3941181087,8/3/2018,6:00 AM,M,25,PAYMENT,986.72,28.00,115.79,-31.94
1990648130,8/3/2018,6:00 AM,F,21,PAYMENT,1512.46,28.00,114.62,-28.8
1523339231,8/3/2018,7:00 AM,M,40,PAYMENT,54849.99,131.00,115.83,-31.9
90814749,8/3/2018,7:00 AM,M,35,INTER BANK,5876.68,110.00,151.68,-32.98
1496451953,8/3/2018,7:00 AM,M,43,PAYMENT,107.59,17.00,145.16,-37.84
1334819143,8/3/2018,10:00 AM,M,33,PAYMENT,58002.04,50.00,145.13,-37.7
1788473090,8/3/2018,11:00 AM,F,21,INTER BANK,249.62,66.00,145.06,-37.95
2231965366,8/3/2018,11:00 AM,F,35,PAYMENT,1417.62,147.00,144.96,-37.84
3536132544,8/3/2018,11:00 AM,F,41,PAYMENT,1408.27,33.00,144.93,-37.79
414431115,8/3/2018,11:00 AM,F,43,INTER BANK,1590.28,18.00,142.77,-37.06
966140392,8/3/2018,11:00 AM,M,21,PAYMENT,585.75,130.00,147.08,-37.97
3485804958,8/3/2018,12:00 PM,F,34,PAYMENT,16357.36,16.00,138.52,-35.01
819621312,8/3/2018,12:00 PM,F,30,INTER BANK,1068.27,168.00,145.04,-37.85
1516130869,8/3/2018,1:00 PM,F,21,PAYMENT,42.55,29.00,130.84,-12.45
1344825761,8/3/2018,2:00 PM,F,46,PAYMENT,13561.79,22.00,151.09,-33.91
1523339231,8/3/2018,2:00 PM,M,40,PAYMENT,54809.99,40.00,115.83,-31.9
